0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:22 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 15255
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:22 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:39 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 500 8046
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:55 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:57 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:57 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:59 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 15255
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:07 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 16600
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:28 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 18307
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:28 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:41 +0700] "GET /CapstoneProject/stepremove?idStep=41 HTTP/1.1" 500 7957
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:48 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:37:50 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
